found,as_link,r_link,sid,rid,subject,type
True,True,True,1757,2253,"World War, 1939-1945--Naval operations--Submarine",topical
True,True,True,1757,2256,"World War, 1939-1945--Naval operations--Submarine",topical
True,True,True,1757,2276,"World War, 1939-1945--Naval operations--Submarine",topical
True,True,True,1757,2353,"World War, 1939-1945--Naval operations--Submarine",topical
True,True,True,1757,2383,"World War, 1939-1945--Naval operations--Submarine",topical
True,True,True,1757,2372,"World War, 1939-1945--Naval operations--Submarine",topical
True,True,True,1757,1005,"World War, 1939-1945--Naval operations--Submarine",topical
True,True,True,1758,615,"World War, 1939-1945--Regimental histories--United States",topical
True,True,True,1758,996,"World War, 1939-1945--Regimental histories--United States",topical
True,True,True,1759,838,"World War, 1939-1945--War work--Red Cross",topical
True,True,True,1759,728,"World War, 1939-1945--War work--Red Cross",topical
True,True,True,1760,1455,"Boats and boating--North Carolina--Lookout, Cape",topical
True,True,True,1761,463,"Dairy farming--North Carolina--Bogue Banks",topical
True,True,True,1762,902,"Farmers--North Carolina--Societies, etc.",topical
True,True,True,1763,801,"Hotelkeepers--North Carolina--Wilson",topical
True,True,True,1764,1124,"Mayors--North Carolina--Marlboro",topical
True,True,True,1765,413,"Methodist Church--North Carolina--Bethel (Pitt County)",topical
True,True,True,1766,966,"Mules--North Carolina--PItt County",topical
True,True,True,1767,463,"Real estate development--North Carolina--Bogue Banks",topical
True,True,True,1768,885,"Schools--North Carolina--Wilson",topical
True,True,True,1769,885,"Segregation--North Carolina--Wilson",topical
True,True,True,1770,1193,"Shipbuilding--North Carolina--Pasquotank Coiunty",topical
True,True,True,1771,961,"Steamboats--North Carolina--Tar River Watershed (Person County-Beaufort County)",topical
True,True,True,1772,1188,"Teachers--North Carolina--19th century.",topical
True,True,True,1773,886,"Warehouses--North Carolina--Wilson",topical
True,True,True,1774,463,"World War, 1939-1945--North Carolina--Bogue Banks",topical
True,True,True,1775,1455,"Yacht clubs--North Carolina--Lookout, Cape",topical
True,True,True,1776,506,"Methodists--Ohio--Cleveland",topical
True,True,True,1777,841,"Shipping--Ohio--Cincinnati",topical
True,True,True,1778,539,"Deeds--Pennsylvania--Wayne County",topical
True,True,True,1779,2481,"Quartermasters--Pennsylvania--McKeesport",topical
True,True,True,1780,2267,"Missionaries--Poland--Warsaw",topical
True,True,True,1781,1146,"Nautical training-schools--Rhode Island--Newport",topical
True,True,True,1782,480,"World War, 1939-1945--Scotland--Hebrides",topical
True,True,True,1783,806,"General stores--South Carolina--Georgetown",topical
True,True,True,1784,806,"Shipping--South Carolina--Georgetown",topical
True,True,True,1785,1386,"Medical colleges--Tennessee--Nashville",topical
True,True,True,1786,506,"Agricultural inventions--Texas--Moody",topical
True,True,True,1787,506,"Cotton machinery--Texas--Moody",topical
True,True,True,1788,1797,"Theater, Open-air--United States--History.",topical
True,True,True,1789,515,"Church buildings--Virginia--Norfolk",topical
True,True,True,1790,942,"Cotton trade--Virginia--Norfolk",topical
True,True,True,1791,683,"Deeds--Virginia-- Rappahannock River Valley",topical
True,True,True,1792,832,"Deeds--Virginia--Albemarle County",topical
True,True,True,1793,832,"Deeds--Virginia--Louisa County",topical
True,True,True,1794,739,"Deeds--Virginia--Lunenburg County",topical
True,True,True,1797,942,"General stores--Virginia--Norfolk",topical
True,True,True,1798,802,"Music teachers--Virginia--Richmond",topical
True,True,True,1799,793,"Newspaper editors--Virginia--Richmond",topical
True,True,True,1800,816,"Plantation owners--Virginia--Mecklenburg County",topical
True,True,True,1801,1405,"Postcards--Virginia--Norfolk",topical
True,True,True,1802,793,"Radio journalists--Virginia--Richmond",topical
True,True,True,1803,661,"Revivals--Virginia--Norfolk",topical
True,True,True,1804,1187,"Industries--West Virginia--Point Pleasant",topical
True,True,True,1805,1187,"Shipbuilding industry--West Virginia--Point Pleasant",topical
True,True,True,1806,805,"Tobacco industry--West Virginia--Huntington",topical
True,True,True,1807,1226,"Frontier and pioneer life--Yukon--Klondike River Valley",topical
True,True,True,1808,1226,"Gold miners--Yukon--Klondike River Valley",topical
True,True,True,1809,762,"Violence--Alabama--Selma",topical
True,True,True,1810,2236,"English teachers--Brazil--Piracicaba",topical
True,True,True,1811,2236,"Missionary settlements--Brazil--Piracicaba",topical
True,True,True,1812,2327,"Microbial contamination--California--San Francisco",topical
True,True,True,1812,2326,"Microbial contamination--California--San Francisco",topical
True,True,True,1813,2360,"Sea Scouts--California--Piedmont",topical
True,True,True,1814,2333,"Wrestlers--California--Whittier",topical
True,True,True,1815,2267,"Missionaries--China--Harbin",topical
