found,as_link,r_link,sid,rid,subject,type
True,True,True,1720,638,"United States--Foreign relations--Mexico",topical
True,True,True,1721,2490,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,2533,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,2635,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,983,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,1124,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,997,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,875,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,847,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,395,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,405,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,418,"United States--History--Civil War, 1861-1865",topical
True,True,True,1721,340,"United States--History--Civil War, 1861-1865",topical
True,True,True,1722,1044,"Veterans--Diseases--United States",topical
True,True,True,1723,1013,"Veterans--Medical care--Law and legislation",topical
True,True,True,1724,2241,"Vietnam War, 1961-1975--Protest movements--United States",topical
True,True,True,1725,2300,"World War, 1914-1918--Campaigns--China",topical
True,True,True,1726,2249,"World War, 1914-1918--Campaigns--France",topical
True,True,True,1726,2229,"World War, 1914-1918--Campaigns--France",topical
True,True,True,1726,547,"World War, 1914-1918--Campaigns--France",topical
True,True,True,1727,2249,"World War, 1914-1918--Campaigns--Germany",topical
True,True,True,1728,1125,"World War, 1914-1918--Campaigns--Turkey",topical
True,True,True,1729,547,"World War, 1914-1918--Campaigns--Western Front",topical
True,True,True,1729,518,"World War, 1914-1918--Campaigns--Western Front",topical
True,True,True,1730,651,"World War, 1914-1918--Economic aspects--Great Britain",topical
True,True,True,1731,654,"World War, 1914-1918--Finance--United States",topical
True,True,True,1732,546,"World War, 1914-1918--Regimental histories--United States",topical
True,True,True,1733,403,"World War, 1914-1918--Social aspects--United States",topical
True,True,True,1734,2374,"World War, 1939-1945--Campaigns--Africa, North",topical
True,True,True,1734,2378,"World War, 1939-1945--Campaigns--Africa, North",topical
True,True,True,1734,2351,"World War, 1939-1945--Campaigns--Africa, North",topical
True,True,True,1734,2340,"World War, 1939-1945--Campaigns--Africa, North",topical
True,True,True,1734,2311,"World War, 1939-1945--Campaigns--Africa, North",topical
True,True,True,1734,2321,"World War, 1939-1945--Campaigns--Africa, North",topical
True,True,True,1734,525,"World War, 1939-1945--Campaigns--Africa, North",topical
True,True,True,1735,2320,"World War, 1939-1945--Campaigns--Alaska",topical
True,True,True,1735,2337,"World War, 1939-1945--Campaigns--Alaska",topical
True,True,True,1735,2355,"World War, 1939-1945--Campaigns--Alaska",topical
True,True,True,1735,2370,"World War, 1939-1945--Campaigns--Alaska",topical
True,True,True,1735,2389,"World War, 1939-1945--Campaigns--Alaska",topical
True,True,True,1735,2412,"World War, 1939-1945--Campaigns--Alaska",topical
True,True,True,1736,2412,"World War, 1939-1945--Campaigns--Atlantic Ocean",topical
True,True,True,1736,2414,"World War, 1939-1945--Campaigns--Atlantic Ocean",topical
True,True,True,1736,2384,"World War, 1939-1945--Campaigns--Atlantic Ocean",topical
True,True,True,1736,2371,"World War, 1939-1945--Campaigns--Atlantic Ocean",topical
True,True,True,1736,2374,"World War, 1939-1945--Campaigns--Atlantic Ocean",topical
True,True,True,1736,2366,"World War, 1939-1945--Campaigns--Atlantic Ocean",topical
True,True,True,1736,2379,"World War, 1939-1945--Campaigns--Atlantic Ocean",topical
